src	dst	kind	source	disposition	lines	anchors
src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd	script	membership_arms	move	362	Display Space Blend Fold;Effect Callback Mesh;Effect Execution Model;Embedded MIPS Effect Code;PSX GPU Primitives;Unit Sprite Render Pipeline
src/effects/callbacks/RadialRingCallback.gd	addons/exmateria_effects/callbacks/RadialRingCallback.gd	script	membership_arms	move	382	Effect Callback Mesh;Embedded MIPS Effect Code
src/effects/callbacks/RotatingTubeCallback.gd	addons/exmateria_effects/callbacks/RotatingTubeCallback.gd	script	membership_arms	move	259	Effect Callback Mesh;Embedded MIPS Effect Code
src/effects/callbacks/ScreenGridCallback.gd	addons/exmateria_effects/callbacks/ScreenGridCallback.gd	script	membership_arms	move	236	Effect Callback Mesh
src/effects/callbacks/SpiralMeshCallback.gd	addons/exmateria_effects/callbacks/SpiralMeshCallback.gd	script	membership_arms	move	418	Effect Callback Mesh;PSX GPU Primitives;Particle Emitter Format
src/effects/callbacks/TrailProjectileCallback.gd	addons/exmateria_effects/callbacks/TrailProjectileCallback.gd	script	membership_arms	move	368	Embedded MIPS Effect Code
src/effects/callbacks/TubeMeshCallback.gd	addons/exmateria_effects/callbacks/TubeMeshCallback.gd	script	membership_arms	move	276	Effect Callback Mesh
src/effects/callbacks/WarpedGridCallback.gd	addons/exmateria_effects/callbacks/WarpedGridCallback.gd	script	membership_arms	move	267	Effect Callback Mesh;Embedded MIPS Effect Code
src/effects/callbacks/WorldTubeCallback.gd	addons/exmateria_effects/callbacks/WorldTubeCallback.gd	script	membership_arms	move	337	Effect Callback Mesh
	addons/exmateria_effects/install/EffectsDebug.gd	script	membership_arms	new	154	
	addons/exmateria_effects/install/EffectsContent.gd	script	membership_arms	new	130
	addons/exmateria_effects/install/TintedSurfacesPort.gd	script	membership_arms	new	151	
	addons/exmateria_effects/install/ScreenOverlayPort.gd	script	membership_arms	new	143	
